Nombre,Precio,Proveedor,MPN,EAN,Longitud,Ranuras,Conectores de 8 pines,Conectores de 6 pines,HDMI,DisplayPort,DVI,VGA,Relog de Boost,Vram,Reloj de memoria,TDP
Asus ROG STRIX GTX 1060 6G GAMING,$331.03 USD,ASUS,ROG STRIX-GTX1060-6G-GAMING,889349469361,298 mm,2.0,1,0,2,2,1,0,1746 MHz,6 GB,8008 MHz,120 W
Asus ROG STRIX GTX 1060 O6G GAMING,$288.61 USD,ASUS,ROG STRIX-GTX1060-O6G-GAMING,889349469347,298 mm,2.0,1,0,2,2,1,0,1873 MHz,6 GB,8208 MHz,120 W
Asus ROG STRIX GTX 1070TI 8G GAMING,$529.52 USD,ASUS,ROG-STRIX-GTX1070TI-8G-GAMING,190017147772,298 mm,2.5,1,0,2,2,1,0,1721 MHz,8 GB,8008 MHz,180 W
Asus ROG STRIX GTX 1080 8G GAMING,$513.97 USD,ASUS,ROG STRIX-GTX1080-8G-GAMING,889349442234,298 mm,2.0,1,1,2,2,1,0,1771 MHz,8 GB,10010 MHz,180 W
Asus ROG STRIX GTX 1080TI 11G GAMING,$774.69 USD,ASUS,ROG-STRIX-GTX1080TI-11G-GAMING,889349718575,298 mm,2.5,2,0,2,2,1,0,1632 MHz,11 GB,11100 MHz,250 W
Asus ROG STRIX GTX 1080TI O11G GAMING,$994.98 USD,ASUS,ROG-STRIX-GTX1080TI-O11G-GAMING,889349714539,298 mm,2.5,2,0,2,2,1,0,1708 MHz,11 GB,11100 MHz,250 W
Asus ROG STRIX RX 560 O4G EVO GAMING,$151.4 USD,ASUS,ROG-STRIX-RX560-O4G-EVO-GAMING,889349874844,194 mm,2.0,0,0,1,1,1,0,1197 MHz,4 GB,6000 MHz,90 W
Asus ROG STRIX RX 580 8G GAMING,$256.28 USD,ASUS,ROG-STRIX-RX580-8G-GAMING,649558419836,298 mm,2.5,1,0,2,2,1,0,1360 MHz,8 GB,MHz,185 W
Asus RX 560 4G,$147.17 USD,ASUS,RX560-4G,889349703434,115 mm,2.0,0,0,1,1,1,0,1176 MHz,4 GB,7000 MHz,90 W
Asus RX 560 O4G,$159.58 USD,ASUS,RX560-O4G,889349703397,115 mm,2.0,0,0,1,1,1,0,1210 MHz,4 GB,7000 MHz,90 W
Asus TURBO GTX 1060 6G,$306.78 USD,ASUS,TURBO-GTX1060-6G,889349476116,2667 mm,2.0,0,1,2,2,1,0,1708 MHz,6 GB,8008 MHz,120 W
Asus TURBO GTX 1070 8G,$384.44 USD,ASUS,TURBO-GTX1070-8G,4058621158866,2667 mm,2.0,1,0,2,2,1,0,1683 MHz,8 GB,8008 MHz,150 W
Asus TURBO GTX 1070TI 8G,$362.68 USD,ASUS,TURBO-GTX1070TI-8G,889349892664,2667 mm,2.0,1,0,2,2,1,0,1721 MHz,8 GB,8008 MHz,180 W
Asus TURBO GTX 1080 8G,$577.46 USD,ASUS,TURBO-GTX1080-8G,7104753014253,2667 mm,2.0,1,0,2,2,1,0,1733 MHz,8 GB,10010 MHz,180 W
Asus TURBO GTX 1080TI 11G,$776.12 USD,ASUS,TURBO-GTX1080TI-11G,889349715185,2667 mm,2.0,1,1,2,2,0,0,1582 MHz,11 GB,11010 MHz,250 W
EVGA GeForce GT 1030 SC,$109.82 USD,EVGA,02G-P4-6332-KR,4250812420237,144.8 mm,,0,0,0,0,0,MPN,1544 MHz,2 GB,4 MHz,30 W
EVGA GeForce GTX 1050 FTW Gaming ACX 3.0,$167.81 USD,EVGA,02G-P4-6157-KR,4250812416636,266.7 mm,2.0,0,1,0,0,0,MPN,1556 MHz,2 GB,4 MHz,75 W
EVGA GeForce GTX 1050 SC Gaming,$145.47 USD,EVGA,02G-P4-6152-KR,4250812416650,144.7 mm,2.0,0,0,0,0,0,MPN,1531 MHz,2 GB,4 MHz,75 W
EVGA GeForce GTX 1050 Ti FTW Gaming,$203.1 USD,EVGA,04G-P4-6258-KR,4250812416438,256.54 mm,2.0,0,1,0,0,0,MPN,1493 MHz,4 GB,5 MHz,75 W
EVGA GeForce GTX 1050 Ti Gaming ACX 2.0,$220.51 USD,EVGA,04G-P4-6251-KR,4250812416629,145 mm,2.0,0,0,0,0,0,MPN,1392 MHz,4 GB,5 MHz,75 W
EVGA GeForce GTX 1050 Ti SC Gaming ACX 2.0,$214.38 USD,EVGA,04G-P4-6253-KR,4250812416612,145 mm,2.0,0,0,0,0,0,MPN,1468 MHz,4 GB,4 MHz,75 W
EVGA GeForce GTX 1050 Ti SSC Gaming ACX 3.0,$220.95 USD,EVGA,04G-P4-6255-KR,4250812416605,228.6 mm,2.0,0,0,0,0,0,MPN,1480 MHz,4 GB,4 MHz,75 W
EVGA GeForce GTX 1060,$272.02 USD,EVGA,06G-P4-5161-KR,4250812415349,266.7 mm,2.0,0,1,0,0,0,MPN,1706 MHz,6 GB,4 MHz,120 W
EVGA GeForce GTX 1060 FTW Gaming,$293.77 USD,EVGA,06G-P4-6268-KR,4250812415400,266.7 mm,2.0,1,0,0,0,0,MPN,1847 MHz,6 GB,4 MHz,120 W
EVGA GeForce GTX 1060 FTW+ Gaming ACX 3.0,$257.5 USD,EVGA,03G-P4-6367-KR,4250812416353,266.7 mm,2.0,1,0,0,0,0,MPN,1860 MHz,3 GB,4 MHz,120 W
EVGA GeForce GTX 1060 FTW+ Gaming ACX 3.0,$309.0 USD,EVGA,06G-P4-6368-KR,4250812416339,279.4 mm,2.0,1,0,0,0,0,MPN,1860 MHz,6 GB,4 MHz,120 W
EVGA GeForce GTX 1060 Gaming,$254.35 USD,EVGA,03G-P4-5160-KR,4250812415318,266.7 mm,2.0,0,1,0,0,0,MPN,1706 MHz,3 GB,4 MHz,120 W
EVGA GeForce GTX 1060 Gaming,$294.26 USD,EVGA,06G-P4-6161-KR,4250812415387,172.8 mm,2.0,0,1,0,0,0,MPN,1708 MHz,6 GB,4 MHz,120 W
EVGA GeForce GTX 1060 Gaming ACX 2.0,$238.82 USD,EVGA,03G-P4-6160-KR,4250812415363,172.8 mm,2.0,0,1,0,0,0,MPN,1708 MHz,3 GB,4 MHz,120 W
EVGA GeForce GTX 1060 SC Gaming,$215.48 USD,EVGA,03G-P4-6162-KR,4250812415356,172.8 mm,2.0,0,1,0,0,0,MPN,1835 MHz,3 GB,4 MHz,120 W
