Nombre,Precio,Proveedor,MPN,EAN,Enchufes compatibles,Alto,Soporte adicional para fan
CORSAIR iCUE H100i ELITE - black,$224.86 USD,Corsair,CW-9060061-WW,840006648130,"1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM4, AM3, AM2, sTRX4, sTR4",0 mm,False
"Corsair iCUE H100i ELITE CAPELLIX , black",$148.69 USD,Corsair,CW-9060046-WW,840006618751,"1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM2, AM3, AM4, TR4, sTRX4",0 mm,False
"Corsair iCUE H100i ELITE CAPELLIX White , white",$162.47 USD,Corsair,CW-9060050-WW,840006630609,"1200, sTR4, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM2, AM3, AM4, sTRX4",0 mm,False
"Corsair iCUE H100i ELITE CAPELLIX XT , black",$159.58 USD,Corsair,CW-9060068-WW,840006683476,"1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4",0 mm,False
"Corsair iCUE H100i ELITE CAPELLIX XT , white",$177.71 USD,Corsair,CW-9060072-WW,840006683513,"1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4",0 mm,False
"Corsair iCUE H100i ELITE LCD XT , black",$251.06 USD,Corsair,CW-9060074-WW,840006694199,"1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4",0 mm,False
"Corsair iCUE H100i RGB Elite , black",$137.81 USD,Corsair,CW-9060058-WW,840006648109,"2066, 2011, 1700, 1366, 1200, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4, sTR4",0 mm,False
"Corsair iCUE H115i ELITE CAPELLIX , black",$159.58 USD,Corsair,CW-9060047-WW,840006618768,"1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM2, AM3, AM4, TR4, sTRX4",0 mm,False
"Corsair iCUE H115i ELITE CAPELLIX XT , black",$177.71 USD,Corsair,CW-9060069-WW,840006683483,"1154, 1400, 2066, 2011-V3, 2011, 1700, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4",0 mm,False
"Corsair iCUE H115i RGB Elite , black",$152.32 USD,Corsair,CW-9060059-WW,840006648116,"2066, 2011, 1700, 1366, 1200, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4, sTR4",0 mm,False
"Corsair iCUE H150i ELITE mit LCD-Monitor, black",$235.74 USD,Corsair,CW-9060062-WW,840006648147,"1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM4, AM3, AM2, sTRX4, TR4",0 mm,False
"Corsair iCUE H150i ELITE CAPELLIX , black",$177.71 USD,Corsair,CW-9060048-WW,840006618775,"1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM2, AM3, AM4, TR4, sTRX4",0 mm,False
"Corsair iCUE H150i ELITE CAPELLIX White , white",$184.96 USD,Corsair,CW-9060051-WW,840006630616,"1200, sTR4, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM2, AM3, AM4, sTRX4",0 mm,False
"Corsair iCUE H150i ELITE CAPELLIX XT , black",$199.47 USD,Corsair,CW-9060070-WW,840006683490,"1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4",0 mm,False
"Corsair iCUE H150i ELITE CAPELLIX XT , white",$220.64 USD,Corsair,CW-9060073-WW,840006683520,"1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4",0 mm,False
"Corsair iCUE H150i ELITE LCD XT , black",$282.89 USD,Corsair,CW-9060075-WW,840006694205,"1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4",0 mm,False
"Corsair iCUE H150i ELITE LCD XT , white",$268.38 USD,Corsair,CW-9060077-WW,840006694229,"1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4",0 mm,False
"Corsair iCUE H150i RGB Elite , black",$174.08 USD,Corsair,CW-9060060-WW,840006648123,"2066, 2011, 1700, 1366, 1200, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4, sTR4",0 mm,False
"Corsair iCUE H170i ELITE mit LCD-Monitor, black",$308.28 USD,Corsair,CW-9060063-WW,840006648154,"1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM4, AM3, AM2, sTRX4, TR4",0 mm,False
"Corsair iCUE H170i Elite Capellix , black",$210.35 USD,Corsair,CW-9060055-WW,840006643432,"1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM4, AM3, AM2, sTRX4, sTR4",0 mm,False
