Nombre,Precio,Proveedor,MPN,EAN,Formato,Protocolo,Tamaño,NAND,Controlador
Seagate FireCuda 530 1000 GB,$87.04 USD,Seagate,ZP1000GM3A013,8719706420426,M.2,NVM,1000 GB,TLC,"Phison PS5018-E18, 8 Kanäle"
Seagate FireCuda 530 2000 GB,$347.45 USD,Seagate,ZP2000GM3A013,8719706420433,M.2,NVM,2000 GB,TLC,"Phison PS5018-E18, 8 Kanäle"
Seagate FireCuda 530 4000 GB,$515.01 USD,Seagate,ZP4000GM3A013,8719706420440,M.2,NVM,4000 GB,TLC,"Phison PS5018-E18, 8 Kanäle"
Seagate FireCuda 530 500 GB,$61.65 USD,Seagate,ZP500GM3A013,8719706420419,M.2,NVM,500 GB,TLC,"Phison PS5018-E18, 8 Kanäle"
Seagate IronWolf 240 GB,$58.02 USD,Seagate,ZP240NM30011,8719706018326,M.2,NVM,240 GB,TLC,SK Hynix mit 8 Kanälen
Seagate IronWolf 480 GB,$108.8 USD,Seagate,ZP480NM30011,8719706018333,M.2,NVM,480 GB,TLC,SK Hynix mit 8 Kanälen
Seagate IronWolf 960 GB,$213.21 USD,Seagate,ZP960NM30011,8719706018340,M.2,NVM,960 GB,TLC,SK Hynix mit 8 Kanälen
Toshiba OCZ VX500 Series,$131.7 USD,Toshiba,VX500-25SAT3-128G,842024037910,SATA,SATA,128 GB,MLC,Toshiba TC358790XBG
Toshiba TR200 240 GB,$56.79 USD,Toshiba,TR200 25SAT3-240G,889661182696,SATA,SATA,240 GB,TLC,Phison S11
Toshiba TR200 480 GB,$123.24 USD,Toshiba,TR200 25SAT3-480G,889661182702,SATA,SATA,480 GB,TLC,Phison S11
Toshiba TR200 960 GB,$262.69 USD,Toshiba,TR200 25SAT3-960G,889661182719,SATA,SATA,960 GB,TLC,Phison S11
Western Digital Black NVMe M.2 Solid State Drive,$49.57 USD,Western Digital,WDS512G1X0C,718037854564,M.2,NVM,512 GB,TLC,Marvell 88SS1093
Western Digital Black NVMe M.2 Solid State Drive,$86.14 USD,Western Digital,WDS250G2X0C,718037859057,M.2,NVM,250 GB,TLC,Sandisk
Western Digital Black NVMe M.2 Solid State Drive,$109.48 USD,Western Digital,WDS256G1X0C,718037854557,M.2,NVM,256 GB,TLC,Marvell 88SS1093
Western Digital Black NVMe M.2 Solid State Drive,$132.95 USD,Western Digital,WDS500G2X0C,718037859040,M.2,NVM,500 GB,TLC,Sandisk
Western Digital Black SN750 NVMe M.2 Solid State Drive 250 GB,$56.48 USD,Western Digital,WDS250G3X0C,718037865386,M.2,NVM,250 GB,TLC,Sandisk
Western Digital Black SN750 NVMe M.2 Solid State Drive 500 GB,$61.65 USD,Western Digital,WDS500G3X0C,718037865362,M.2,NVM,500 GB,TLC,Sandisk
Western Digital Black SN750 Solid State Drive 1000 GB,$204.9 USD,Western Digital,WDS100T3XHC,718037866666,M.2,NVM,1000 GB,TLC,Sandisk
Western Digital Black SN850 NVMe M.2 Solid State Drive 1000 GB,$130.56 USD,Western Digital,WDS100T1X0E,718037875934,M.2,NVM,1000 GB,TLC,Western Digital Black G2
Western Digital Black SN850 NVMe M.2 Solid State Drive 1000 GB,$144.95 USD,Western Digital,WDS100T1XHE,718037875910,M.2,NVM,1000 GB,TLC,Western Digital Black G2
Western Digital Black SN850 NVMe M.2 Solid State Drive 2000 GB,$221.23 USD,Western Digital,WDS200T1X0E,718037875927,M.2,NVM,2000 GB,TLC,Western Digital Black G2
Western Digital Black SN850 NVMe M.2 Solid State Drive 2000 GB,$239.37 USD,Western Digital,WDS200T1XHE,718037875965,M.2,NVM,2000 GB,TLC,Western Digital Black G2
Western Digital Black SN850 NVMe M.2 Solid State Drive 500 GB,$79.78 USD,Western Digital,WDS500G1X0E,718037875880,M.2,NVM,500 GB,TLC,Western Digital Black G2
Western Digital Blue,$93.46 USD,Western Digital,WDS250G1B0A,718037852881,SATA,SATA,250 GB,TLC,Marvell 88SS1074
Western Digital Blue,$146.49 USD,Western Digital,WDS500G1B0A,718037852898,SATA,SATA,500 GB,TLC,Marvell 88SS1074
Western Digital Blue SN550 NVMe 2000 GB,$200.57 USD,Western Digital,WDS200T2B0C,718037881379,M.2,NVM,2000 GB,TLC,Western Digital
Western Digital Blue SN550 NVMe 250 GB,$36.26 USD,Western Digital,WDS250G2B0C,718037868745,M.2,NVM,250 GB,TLC,Western Digital
Western Digital Green M.2 Solid State Drive 120 GB,$33.42 USD,Western Digital,WDS120G2G0B,718037852997,M.2,SATA,120 GB,TLC,Silicon Motion SM2256
Western Digital Green M.2 Solid State Drive 240 GB,$47.77 USD,Western Digital,WDS240G2G0B,718037858845,M.2,SATA,240 GB,TLC,Silicon Motion SM2256S
